NCT_Number,Study_Title,Study_Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder_Type,Study_Type,Study_Design,Start_Date,Primary_Completion_Date,Completion_Date,First_Posted,Last_Update_Posted,Locations
NCT01336738,Study Of Safety And Efficacy Of PF-04991532 In Subjects With Type 2 Diabetes Mellitus,COMPLETED,"Diabetes, Type 2",DRUG: Placebo|DRUG: 150 mg PF-04991532|DRUG: 450 mg PF-04991532|DRUG: 750 mg PF-04991532|DRUG: Sitagliptin 100 mg,Pfizer,,ALL,"ADULT, OLDER_ADULT",PHASE2,266,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: DOUBLE (PARTICIPANT, INVESTIGATOR) | Primary Purpose: TREATMENT",2011-06,2012-03,2012-03,18-04-2011,06-08-2013,"Pfizer Investigational Site, Jonesboro, Arkansas, 72401, United States|Pfizer Investigational Site, Jonesboro, Arkansas, 72404, United States|Pfizer Investigational Site, Los Angeles, California, 90057, United States|Pfizer Investigational Site, Palm Springs, California, 92262, United States|Pfizer Investigational Site, Jacksonville, Florida, 32216, United States|Pfizer Investigational Site, Melbourne, Florida, 32901, United States|Pfizer Investigational Site, West Palm Beach, Florida, 33401, United States|Pfizer Investigational Site, Conyers, Georgia, 30094, United States|Pfizer Investigational Site, Chicago, Illinois, 60607, United States|Pfizer Investigational Site, Louisville, Kentucky, 40213, United States|Pfizer Investigational Site, Fall River, Massachusetts, 02720, United States|Pfizer Investigational Site, Brooklyn, New York, 11230, United States|Pfizer Investigational Site, Cary, North Carolina, 27518, United States|Pfizer Investigational Site, Wilmington, North Carolina, 28401, United States|Pfizer Investigational Site, Columbus, Ohio, 43213, United States|Pfizer Investigational Site, East Providence, Rhode Island, 02914, United States|Pfizer Investigational Site, East Providence, Rhode Island, 02915, United States|Pfizer Investigational Site, Mt. Pleasant, South Carolina, 29464, United States|Pfizer Investigational Site, Bristol, Tennessee, 37620, United States|Pfizer Investigational Site, Kingsport, Tennessee, 37660, United States|Pfizer Investigational Site, Dallas, Texas, 75230, United States|Pfizer Investigational Site, Houston, Texas, 77036, United States|Pfizer Investigational Site, Houston, Texas, 77074, United States|Pfizer Investigational Site, Houston, Texas, 77081, United States|Pfizer Investigational Site, San Antonio, Texas, 78229, United States|Pfizer Investigational Site, Charlottesville, Virginia, 22911, United States|Pfizer Investigational Site, Kenosha, Wisconsin, 53142, United States|Pfizer Investigational Site, Milwaukee, Wisconsin, 53209, United States|Pfizer Investigational Site, Winnipeg, Manitoba, R3E 3P4, Canada|Pfizer Investigational Site, Strathroy, Ontario, N7G 1Y7, Canada|Pfizer Investigational Site, Thornhill, Ontario, L4J 8L7, Canada|Pfizer Investigational Site, Toronto, Ontario, M9W 4L6, Canada|Pfizer Investigational Site, Laval, Quebec, H7T 2P5, Canada|Pfizer Investigational Site, Saint Romuald, Quebec, G6W 5M6, Canada|Pfizer Investigational Site, Budapest, 1036, Hungary|Pfizer Investigational Site, Guadalajara, Jalisco, 44130, Mexico|Pfizer Investigational Site, Guadalajara, Jalisco, 44650, Mexico|Pfizer Investigational Site, Monterrey, Nuevo León, 64460, Mexico|Pfizer Investigational Site, Bratislava, 831 01, Slovakia|Pfizer Investigational Site, Seoul, 110-744, South Korea|Pfizer Investigational Site, Seoul, 120-752, South Korea|Pfizer Investigational Site, Seoul, 138-736, South Korea|Pfizer Investigational Site, Tainan, 710, Taiwan|Pfizer Investigational Site, Taipei, 100, Taiwan"
NCT02759289,"Arsenic, Disordered Glucose Homeostasis and Atherosclerosis",COMPLETED,Atherosclerosis|Type 2 Diabetes (T2D),,NYU Langone Health,,ALL,"ADULT, OLDER_ADULT",,279,OTHER,OBSERVATIONAL,Observational Model: CASE_CROSSOVER | Time Perspective: PROSPECTIVE,2015-11,15-09-2020,15-09-2020,03-05-2016,13-11-2020,"New York University School of Medicine, New York, New York, 10016, United States"
NCT03437109,Efficacy of Androgen Substitution for Hypogonadism in Men With Type 2 Diabetes Mellitus,COMPLETED,T2DM (Type 2 Diabetes Mellitus)|Hypogonadism,DIAGNOSTIC_TEST: Laboratory tests,Besins Healthcare,,MALE,ADULT,,554,INDUSTRY,OBSERVATIONAL,Observational Model: COHORT | Time Perspective: PROSPECTIVE,06-12-2017,01-02-2019,01-02-2019,19-02-2018,20-06-2019,"ENC, Moscow, 117036, Russia|Central Clinical Hospital, Moscow, 121359, Russia"
NCT02041234,Roux-en-Y Gastric Bypass for BMI 27-32 Type 2 Diabetes Versus Best Medical Treatment,COMPLETED,Type II Diabetes in Subjects BMI 27 to 32,PROCEDURE: Roux-en-Y Gastric Bypass (RYGB)|DRUG: Incretin analogues|DRUG: Xenical|DRUG: SGLT2 inhibitors|DRUG: DPP-4 Inhibitors,Khoo Teck Puat Hospital,,ALL,"ADULT, OLDER_ADULT",PHASE4,40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,2014-02,2020-12,2022-06,22-01-2014,23-06-2022,"Khoo Teck Puat Hospital, Singapore, 768828, Singapore"
NCT01472328,Effects of HBO Therapy on Muscular Insulin Resistence in Type 2 Diabetes,COMPLETED,Obesity|Non-insulin-dependent Diabetes Mellitus,PROCEDURE: HBO therapy|PROCEDURE: Hyperbaric room air,German Diabetes Center,"Heinrich-Heine University, Duesseldorf",ALL,"ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: CROSSOVER | Masking: SINGLE (PARTICIPANT) | Primary Purpose: BASIC_SCIENCE,2012-03,2015-03,2015-08,16-11-2011,13-06-2023,"German Diabetes Center, Düsseldorf, 40225, Germany"
NCT06005519,The Short and Long-term Effects of Low Advanced Glycation End Product* Diet,COMPLETED,Diabetes Type 2,OTHER: low AGE diet education,Marmara University Pendik Training and Research Hospital,,ALL,"ADULT, OLDER_ADULT",NA,60,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: PREVENTION,01-12-2018,30-08-2021,30-08-2021,22-08-2023,22-08-2023,"Istanbul University Istanbul Medical Faculty, Istanbul, Fatih, 34096, Turkey (Türkiye)"
NCT05689684,Arabinoxylan-oligosaccharides (AXOS) for the Management of Type-2 Diabetes,COMPLETED,Diabetes Type 2,DIETARY_SUPPLEMENT: AG+XOS+AXOS|DIETARY_SUPPLEMENT: Placebo Maltodextrin,Lund University,Carbiotix AB|Skane University Hospital|Vinnova,ALL,"ADULT, OLDER_ADULT",NA,66,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER) | Primary Purpose: TREATMENT",07-11-2022,06-10-2023,31-12-2024,19-01-2023,10-03-2025,"Biomedical Nutrition, Lund University and Department of Endocrinology , Lund University Hospital, Lund, 221 00, Sweden"
NCT05442840,Evaluation of Pharmacist Intervention for Individuals With Uncontrolled Type 2 Diabetes,ACTIVE_NOT_RECRUITING,Diabetes Type 2,COMBINATION_PRODUCT: Behavioral and drugs already approved and available for diabetes management,University of Manitoba,,ALL,"ADULT, OLDER_ADULT",NA,60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: SINGLE (CARE_PROVIDER) | Primary Purpose: SUPPORTIVE_CARE,04-07-2022,2026-12,2026-12,05-07-2022,21-04-2026,"Portage Clinic, Portage la Prairie, Manitoba, R1N 3V5, Canada"
NCT06354660,Effect of Retatrutide Compared With Placebo in Adult Participants With Type 2 Diabetes and Inadequate Glycemic Control With Diet and Exercise Alone (TRANSCEND-T2D-1),COMPLETED,Diabetes Type 2,DRUG: Retatrutide|DRUG: Placebo,Eli Lilly and Company,,ALL,"ADULT, OLDER_ADULT",PHASE3,537,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: DOUBLE (PARTICIPANT, INVESTIGATOR) | Primary Purpose: TREATMENT",10-04-2024,22-01-2026,20-02-2026,09-04-2024,05-03-2026,"Scottsdale Clinical Trials, Scottsdale, Arizona, 85260, United States|Tucson Clinical Research Institute, Tucson, Arizona, 85712, United States|San Fernando Valley Health Institute, Canoga Park, California, 91304, United States|Ark Clinical Research, Long Beach, California, 90815, United States|Northeast Research Institute (NERI), Fleming Island, Florida, 32003, United States|New Horizon Research Center, Miami, Florida, 33165, United States|Ezy Medical Research, Miami, Florida, 33175, United States|Clinical Research of Central Florida, Winter Haven, Florida, 33880, United States|Trinity Research Centers, Marietta, Georgia, 30064, United States|Cotton O'Neil Clinical Research Center, Topeka, Kansas, 66606, United States|NECCR PrimaCare Research, Fall River, Massachusetts, 02721, United States|Clinical Research Professionals, Chesterfield, Missouri, 63005, United States|Boeson Research MSO, Missoula, Montana, 59804, United States|NJ MedCare & NJ Heart, Linden, New Jersey, 07036, United States|Accellacare - Wilmington - 1917 Tradd Court, Wilmington, North Carolina, 28401, United States|Providence Health Partners-Center for Clinical Research, Dayton, Ohio, 45439, United States|Clinical Research of Philadelphia, Philadelphia, Pennsylvania, 19114, United States|Preferred Primary Care Physicians, Uniontown, Pennsylvania, 15401, United States|Delricht Research - Tobias Gadson Boulevard - Charleston, Charleston, South Carolina, 29407, United States|Lifedoc Research - Lenox Park Drive, Memphis, Tennessee, 38115, United States|Clinical Research Associates Inc, Nashville, Tennessee, 37203, United States|Velocity Clinical Research, Dallas, Dallas, Texas, 75230, United States|Prime Revival Research Institute, LLC, Flower Mound, Texas, 75028, United States|Valley Institute of Research - Fort Worth, Fort Worth, Texas, 76164, United States|Consano Clinical Research, LLC, Shavano Park, Texas, 78231, United States|Texas Valley Clinical Research, Weslaco, Texas, 78596, United States|Manassas Clinical Research Center, Manassas, Virginia, 20110, United States|MultiCare Rockwood Cheney Clinic, Cheney, Washington, 99004, United States|Eastside Research Associates, Redmond, Washington, 98052, United States|All India Institute of Medical Sciences, Raipur, Chhattisgarh, 492099, India|Gujarat Endocrin Pvt Ltd, Ahmedabad, Gujarat, 380052, India|Nirmal Hospital Pvt Ltd., Surat, Gujarat, 395002, India|Victoria Hospital, Bangalore Medical College And Research Institute, Bangalore, Karnataka, 560002, India|Government Medical College - Kozhikode, Kozhikode, Kerala, 673008, India|All India Institute of Medical Sciences, Bhubaneswar, Odisha, 751019, India|Eternal Heart Care Center and Research Institute, Jaipur, Rajasthan, 302020, India|Brij Medical Centre Private Limited, Kanpur, Uttar Pradesh, 208020, India|Grupo Ollin Care, Pachuca, Hidalgo, 42000, Mexico|Instituto Jalisciense de Investigacion en Diabetes y Obesidad, Guadalajara, Jalisco, 04460, Mexico|Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran, Mexico City, Mexico City, 14080, Mexico|Unidad biomedica avanzada monterrey, Monterrey, Nuevo León, 64460, Mexico|Clínica García Flores SC, Monterrey, Nuevo León, 64610, Mexico|Centro de investigación y control metabólico, San Nicolás de los Garza, Nuevo León, 66465, Mexico|EME RED Hospitalaria, Mérida, Yucatán, 97000, Mexico|Medical Care and Research SA de CV, Mérida, Yucatán, 97070, Mexico|Arké SMO S.A de C.V, Veracruz, 91910, Mexico|Dorado Medical Complex, Dorado, 00646, Puerto Rico|Ponce Medical School Foundation Inc., Ponce, 00716, Puerto Rico"
NCT05394844,Diabetes Education With Real-time Continuous Glucose Monitoring,COMPLETED,Diabetes Type 2,DEVICE: Dexcom G6,University of Washington,"American Diabetes Association|Washington State University|Sea Mar Community Health Centers|DexCom, Inc.",ALL,ADULT,NA,120,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR) | Primary Purpose: TREATMENT",11-11-2022,30-07-2024,30-11-2024,27-05-2022,01-12-2025,"University of Washington Diabetes Institute, Seattle, Washington, 98109, United States|University of Washington, Seattle, Washington, 98109, United States"
NCT05378620,Project Dulce for Filipino-Americans With Type 2 Diabetes,COMPLETED,Diabetes Type 2,BEHAVIORAL: Project Dulce + Dulce Digital,Scripps Whittier Diabetes Institute,National Center for Advancing Translational Sciences (NCATS),ALL,"ADULT, OLDER_ADULT",NA,29,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,17-10-2022,12-12-2025,12-12-2025,18-05-2022,04-03-2026,"San Ysidro Health, National City, California, 91950, United States|Scripps Whittier Diabetes Institute, San Diego, California, 92037, United States"
NCT06267391,Safety and Effectiveness of Endoscopic Intestinal Re-Cellularization Therapy in Individuals With Type II Diabetes,RECRUITING,"Type 2 Diabetes Mellitus|Type2diabetes|Diabetes Mellitus, Type 2|Diabetes|Type 2 Diabetes",DEVICE: ReCET Treatment|DEVICE: Sham Procedure,"Endogenex, Inc.",,ALL,"ADULT, OLDER_ADULT",NA,264,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: SEQUENTIAL | Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR) | Primary Purpose: TREATMENT",01-05-2024,01-07-2026,01-10-2026,20-02-2024,22-06-2026,"University of Alabama, Birmingham, Alabama, 35205, United States|Central Alabama Research, Birmingham, Alabama, 35209, United States|Velocity Clinical Research, Gardena, Gardena, California, 90247, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|UCLA, Los Angeles, California, 90065, United States|Hoag Memorial Hospital Presbyterian - Digestive Health Institute, Newport Beach, California, 92663, United States|Velocity Clinical Research, Panorama City, Panorama City, California, 91402, United States|Velocity Clinical Research, Hallandale Beach, Hallandale, Florida, 33009, United States|Mayo Clinic, Jacksonville, Florida, 32224, United States|Universal Axon Clinical Research LLC, Miami, Florida, 33166, United States|University of Miami, Miami, Florida, 33166, United States|Quantum Clinical Research, Miami Beach, Florida, 33140, United States|West Orange Endocrinology, Ocoee, Florida, 34761, United States|Advent Health, Orlando, Florida, 32804, United States|Orlando Health, Orlando, Florida, 32806, United States|Health Synergy Clinical Research, West Palm Beach, Florida, 33407, United States|NorthShore University Health System, Evanston, Illinois, 60201, United States|Heartland Medical Research, Inc., Clive, Iowa, 50325, United States|Iowa Diabetes and Endocrinology Research Center, West Des Moines, Iowa, 50266, United States|John Hopkins, Baltimore, Maryland, 21287, United States|Mayo Clinic, Rochester, Minnesota, 55905, United States|Cooper Health System, Camden, New Jersey, 08103, United States|Robert Wood Johnson Medical School, New Brunswick, New Jersey, 08901, United States|The Ohio State University- Wexner Medical Center, Columbus, Ohio, 43210, United States|Velocity Clinical Research - Austin, Austin, Texas, 78613, United States|Dell Medical School, Austin, Texas, 78712, United States|IMA Clinical Research - Austin, Austin, Texas, 78745, United States|The University of Texas Health Science Center at Houston, Bellaire, Texas, 77401, United States|Velocity Clinical Research, Dallas, Dallas, Texas, 75230, United States|Southwest Medical Center, Dallas, Texas, 75235, United States|University of Texas Southwestern Medical School - William P. Clements Jr. University Hospital, Dallas, Texas, 75235, United States|Epic Medical Research, DeSoto, Texas, 75115, United States|Houston Methodist Research Institute, Houston, Texas, 77030, United States|Juno Research, LLC, Houston, Texas, 77054, United States|Texas Diabetes & Endocrinology, P.A., Round Rock, Texas, 78681, United States|Diabetes & Glandular Disease Clinic, P.A., San Antonio, Texas, 78229, United States|IMA Clinical Research - San Antonio, San Antonio, Texas, 78229, United States|Mt. Olympus Medical Research, Sugar Land, Texas, 77479, United States|Royal Prince Alfred Hospital, Camperdown, New South Wales, 2006, Australia|The BMI Clinic, Double Bay, New South Wales, 2028, Australia|Royal North Shore Hospital, Saint Leonards, New South Wales, 2065, Australia|Eastern Health - Box Hill Hospital, Box Hill, Victoria, 3128, Australia|St Vincent's Hospital Melbourne, Fitzroy, Victoria, 3065, Australia|Austin Health, Heidelberg, Victoria, Australia|Baker Heart and Diabetes Institute, Melbourne, Victoria, 3004, Australia"
